"id","cate_id","food_name","alias_name","english_name","edible_part","water","energy","protein","fat","cholesterol","ash","carbohydrate","dietary_fiber","carotene","vitamin_a","vitamin_e","thiamin","riboflavin","niacin","vitamin_c","calcium","phosphorus","potassium","sodium","magnesium","iron","zinc","selenium","copper","manganese","iodine","sfa","mufa","pufa","fatty_acids_total"
"1313","126","糯米饭团","","","100%","37.0g","1393kJ","5.9g","17.6g","0mg","1.2g","38.3g","1.10g","—","—","—","0.06mg","0.02mg","0.80mg","0.0mg","15mg","78mg","86mg","393.0mg","22mg","0.6mg","0.70mg","—","—","—","—","22.0%","22.5%","55.5%","100.0%"
"1314","126","什锦炒饭","","","100%","58.7g","779kJ","5.0g","5.6g","37mg","1.0g","29.7g","2.00g","—","—","—","0.05mg","0.07mg","0.60mg","4.5mg","23mg","62mg","57mg","220.0mg","9mg","0.4mg","0.50mg","—","—","—","—","19.7%","25.3%","55.0%","100.0%"
"1315","126","虾仁炒饭","","","100%","64.8g","566kJ","4.7g","1.7g","11mg","2.5g","26.3g","2.70g","—","—","—","0.02mg","0.02mg","0.50mg","1.0mg","24mg","44mg","44mg","222.0mg","10mg","0.6mg","0.40mg","—","—","—","—","16.7%","23.1%","60.6%","100.4%"
"1316","126","面包(均值)","","","100%","27.4g","1326kJ","8.3g","5.1g","","0.6g","58.6g","","","","—","0.03mg","0.06mg","1.70mg","","49mg","107mg","88mg","230.4mg","31mg","2.0mg","0.75mg","3.20μg","0.27mg","0.37mg","","7.8%","53.8%","34.8%","96.5%"
"1317","126","法式牛角面包","","","100%","21.3g","1600kJ","8.4g","14.3g","","1.4g","54.6g","","","","—","0.05mg","0.01mg","5.00mg","","83mg","93mg","103mg","352.3mg","29mg","1.7mg","0.61mg","18.20μg","0.24mg","0.38mg","","—","—","—","—"
"1318","126","果料面包","","","100%","31.2g","1191kJ","8.5g","2.1g","","1.2g","57.0g","","","","—","0.07mg","0.07mg","4.60mg","","124mg","100mg","94mg","210.5mg","29mg","2.0mg","0.58mg","24.00μg","0.28mg","0.37mg","","—","—","—","—"
"1319","126","黄油面包","","","100%","27.3g","1401kJ","7.9g","8.7g","","0.5g","55.6g","","","","—","0.03mg","0.02mg","2.30mg","","35mg","94mg","92mg","14.5mg","22mg","1.5mg","0.50mg","3.40μg","0.18mg","0.29mg","","—","—","—","—"
"1320","126","维生素面包","","","100%","36.1g","1183kJ","8.8g","5.6g","","0.9g","48.6g","","","","—","0.02mg","0.58mg","5.90mg","","49mg","107mg","85mg","256.4mg","27mg","1.6mg","0.99mg","21.80μg","0.33mg","0.38mg","","—","—","—","—"
"1321","126","葡萄干面包","","","100%","38.0g","1101kJ","6.6g","3.7g","—","1.6g","50.1g","","0.0μg","0.0μg","—","0.05mg","0.06mg","0.60mg","0.0mg","42mg","75mg","190mg","370.0mg","—","1.2mg","—","—","—","—","—","—","—","—","—"
"1322","126","饼干(均值)","","","100%","5.7g","1842kJ","9.0g","12.7g","81mg","0.9g","71.7g","","80.0μg","24.0μg","—","0.08mg","0.04mg","4.70mg","3.0mg","73mg","88mg","85mg","204.1mg","50mg","1.9mg","0.91mg","12.50μg","0.23mg","0.87mg","","16.6%","15.6%","67.6%","99.8%"
"1323","126","苏打饼干","","","100%","5.7g","1723kJ","8.4g","7.7g","","2.0g","76.2g","","","","—","0.03mg","0.01mg","0.40mg","","","69mg","82mg","312.2mg","20mg","1.6mg","0.35mg","39.30μg","0.18mg","","","—","—","—","—"
